,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
74,10/17/1999,1999,6,JAX,CLE,JAX,-17.5,37.5,,74.0,24.0,83.0,24.0,7.0,False,False,31.0,-6.5,6.5,-0.5,10/17/1999,10/17/1999,6,39.5,35.5,-150,100,0,0,-50,100,-110,0,100,-110,-0.5,100,0,100,-110,-110
75,10/17/1999,1999,6,NE,MIA,NE,-2.5,42.5,,63.0,10.0,81.0,30.0,31.0,False,False,61.0,18.5,18.5,-1.5,10/17/1999,10/17/1999,6,44.5,40.5,100,-150,0,0,-50,-110,100,0,-110,100,-3.5,100,0,100,-110,-110
78,10/17/1999,1999,6,SF,CAR,SF,-5.0,44.0,,70.0,11.0,26.0,29.0,31.0,False,False,60.0,16.0,16.0,-3.0,10/17/1999,10/17/1999,6,46.0,42.0,100,-150,0,0,-50,-110,100,0,-110,100,-7.0,100,0,100,-110,-110
81,10/24/1999,1999,7,CAR,DET,CAR,-4.5,43.5,,46.0,8.0,60.0,9.0,24.0,False,False,33.0,-10.5,10.5,10.5,10/24/1999,10/24/1999,6,45.5,41.5,-150,100,0,0,-50,100,-110,0,100,-110,-19.5,100,0,100,-110,-110
82,10/24/1999,1999,7,DAL,WAS,DAL,-2.0,44.0,,59.0,6.0,36.0,38.0,20.0,False,False,58.0,14.0,14.0,16.0,10/24/1999,10/24/1999,6,46.0,42.0,100,-150,0,0,-50,-110,100,0,-110,100,16.0,-110,0,-110,100,100
83,10/24/1999,1999,7,IND,CIN,IND,-11.0,44.0,DOME,72.0,0.0,,31.0,10.0,False,False,41.0,-3.0,3.0,10.0,10/24/1999,10/24/1999,6,46.0,42.0,-150,100,0,0,-50,100,-110,0,100,-110,10.0,-110,0,-110,100,100
84,10/24/1999,1999,7,MIA,PHI,MIA,-9.0,34.0,,71.0,9.0,56.0,16.0,13.0,False,False,29.0,-5.0,5.0,-6.0,10/24/1999,10/24/1999,6,36.0,32.0,-150,100,0,0,-50,100,-110,0,100,-110,-6.0,100,0,100,-110,-110
85,10/24/1999,1999,7,MIN,SF,MIN,-7.0,48.5,DOME,72.0,0.0,,40.0,16.0,False,False,56.0,7.5,7.5,17.0,10/24/1999,10/24/1999,6,50.5,46.5,100,-150,0,0,-50,-110,100,0,-110,100,17.0,-110,0,-110,100,100
86,10/24/1999,1999,7,NE,DEN,NE,-3.5,40.5,,49.0,14.0,65.0,24.0,23.0,False,False,47.0,6.5,6.5,-2.5,10/24/1999,10/24/1999,6,42.5,38.5,100,-150,0,0,-50,-110,100,0,-110,100,-2.5,100,0,100,-110,-110
87,10/24/1999,1999,7,NYG,NO,NYG,-3.0,34.0,,50.0,17.0,58.0,31.0,3.0,False,False,34.0,0.0,0.0,25.0,10/24/1999,10/24/1999,6,36.0,32.0,100,100,0,0,200,-110,-110,110,0,0,25.0,-110,0,-110,100,100
