,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,to_spread,usd,cred,result,against_home_dogs,away_Favs
192,12/19/1999,1999,16,ARI,BUF,BUF,-3.0,37.5,,57.0,4.0,29.0,21.0,31.0,False,False,52.0,14.5,14.5,-7.0,12/19/1999,12/19/1999,6,39.5,35.5,100,-150,0,0,-50,7.0,-110,0,-110,100,100
194,12/19/1999,1999,16,CHI,DET,DET,-3.0,37.0,,28.0,9.0,85.0,28.0,10.0,False,False,38.0,1.0,1.0,-15.0,12/19/1999,12/19/1999,6,39.0,35.0,100,100,0,0,200,-21.0,100,0,100,-110,-110
195,12/19/1999,1999,16,CLE,JAX,JAX,-14.5,39.0,,33.0,8.0,66.0,14.0,24.0,False,False,38.0,-1.0,1.0,4.5,12/19/1999,12/19/1999,6,41.0,37.0,100,100,0,0,200,-4.5,100,0,100,-110,-110
200,12/19/1999,1999,16,OAK,TB,TB,-1.0,36.0,,53.0,9.0,64.0,45.0,0.0,False,False,45.0,9.0,9.0,-44.0,12/19/1999,12/19/1999,6,38.0,34.0,100,-150,0,0,-50,-46.0,100,0,100,-110,-110
201,12/19/1999,1999,16,PHI,NE,NE,-3.5,37.0,,38.0,12.0,61.0,24.0,9.0,False,False,33.0,-4.0,4.0,-11.5,12/19/1999,12/19/1999,6,39.0,35.0,-150,100,0,0,-50,-18.5,100,0,100,-110,-110
204,12/24/1999,1999,17,NO,DAL,DAL,-8.5,38.5,DOME,72.0,0.0,,31.0,24.0,False,False,55.0,16.5,16.5,1.5,12/24/1999,12/24/1999,4,40.5,36.5,100,-150,0,0,-50,-15.5,100,0,100,-110,-110
208,12/26/1999,1999,17,CLE,IND,IND,-13.5,41.5,,27.0,19.0,68.0,28.0,29.0,False,False,57.0,15.5,15.5,12.5,12/26/1999,12/26/1999,6,43.5,39.5,100,-150,0,0,-50,-12.5,100,0,100,-110,-110
209,12/26/1999,1999,17,NE,BUF,BUF,-3.0,37.5,,29.0,18.0,48.0,10.0,13.0,False,False,23.0,-14.5,14.5,0.0,12/26/1999,12/26/1999,6,39.5,35.5,-150,100,0,0,-50,0.0,-110,110,0,-110,0
210,12/26/1999,1999,17,NYG,MIN,MIN,-2.5,43.0,,30.0,15.0,52.0,17.0,34.0,False,False,51.0,8.0,8.0,-14.5,12/26/1999,12/26/1999,6,45.0,41.0,100,-150,0,0,-50,14.5,-110,0,-110,100,100
211,12/26/1999,1999,17,PIT,CAR,CAR,-3.5,42.5,,26.0,15.0,58.0,30.0,20.0,False,False,50.0,7.5,7.5,-6.5,12/26/1999,12/26/1999,6,44.5,40.5,100,-150,0,0,-50,-13.5,100,0,100,-110,-110
212,12/26/1999,1999,17,SF,WAS,WAS,-7.0,47.5,,50.0,3.0,78.0,20.0,26.0,False,False,46.0,-1.5,1.5,1.0,12/26/1999,12/26/1999,6,49.5,45.5,100,100,0,0,200,-1.0,100,0,100,-110,-110
215,12/26/1999,1999,17,TEN,JAX,JAX,-3.0,39.0,,36.0,9.0,63.0,41.0,14.0,False,False,55.0,16.0,16.0,-24.0,12/26/1999,12/26/1999,6,41.0,37.0,100,-150,0,0,-50,-30.0,100,0,100,-110,-110
217,1/2/2000,1999,18,BUF,IND,IND,-1.5,42.0,,44.0,14.0,76.0,31.0,6.0,False,False,37.0,-5.0,5.0,-23.5,1/2/2000,1/2/2000,6,44.0,40.0,-150,100,0,0,-50,-26.5,100,0,100,-110,-110
219,1/2/2000,1999,18,CHI,TB,TB,-3.5,34.0,,48.0,15.0,81.0,6.0,20.0,False,False,26.0,-8.0,8.0,-10.5,1/2/2000,1/2/2000,6,36.0,32.0,-150,100,0,0,-50,10.5,-110,0,-110,100,100
226,1/2/2000,1999,18,NE,BAL,BAL,-1.0,37.5,,42.0,10.0,86.0,20.0,3.0,False,False,23.0,-14.5,14.5,-16.0,1/2/2000,1/2/2000,6,39.5,35.5,-150,100,0,0,-50,-18.0,100,0,100,-110,-110
228,1/2/2000,1999,18,PHI,,LAR,-8.0,42.0,,47.0,9.0,83.0,38.0,31.0,False,False,69.0,27.0,27.0,1.0,1/2/2000,1/2/2000,6,44.0,40.0,100,-150,0,0,-50,-15.0,100,0,100,-110,-110
229,1/2/2000,1999,18,PIT,TEN,TEN,-4.0,38.0,,53.0,10.0,59.0,36.0,47.0,False,False,83.0,45.0,45.0,-7.0,1/2/2000,1/2/2000,6,40.0,36.0,100,-150,0,0,-50,7.0,-110,0,-110,100,100
242,9/3/2000,2000,1,CLE,JAX,JAX,-10.5,38.5,,75.0,8.0,86.0,7.0,27.0,False,False,34.0,-4.5,4.5,-9.5,9/3/2000,9/3/2000,6,40.5,36.5,-150,100,0,0,-50,9.5,-110,0,-110,100,100
245,9/3/2000,2000,1,KC,IND,IND,-3.5,44.0,,86.0,9.0,51.0,14.0,27.0,False,False,41.0,-3.0,3.0,-9.5,9/3/2000,9/3/2000,6,46.0,42.0,-150,100,0,0,-50,9.5,-110,0,-110,100,100
248,9/3/2000,2000,1,NE,TB,TB,-3.0,36.0,,63.0,8.0,95.0,16.0,21.0,False,False,37.0,1.0,1.0,-2.0,9/3/2000,9/3/2000,6,38.0,34.0,100,100,0,0,200,2.0,-110,0,-110,100,100
249,9/3/2000,2000,1,NO,DET,PICK,0.0,40.5,DOME,72.0,0.0,,10.0,14.0,False,False,24.0,-16.5,16.5,-4.0,9/3/2000,9/3/2000,6,42.5,38.5,-150,100,0,0,-50,4.0,-110,0,-110,100,100
252,9/3/2000,2000,1,PIT,BAL,BAL,-2.5,37.0,,73.0,5.0,90.0,0.0,16.0,False,False,16.0,-21.0,21.0,-13.5,9/3/2000,9/3/2000,6,39.0,35.0,-150,100,0,0,-50,13.5,-110,0,-110,100,100
259,9/10/2000,2000,2,DET,WAS,WAS,-5.5,43.0,DOME,72.0,0.0,,15.0,10.0,False,False,25.0,-18.0,18.0,0.5,9/10/2000,9/10/2000,6,45.0,41.0,-150,100,0,0,-50,-10.5,100,0,100,-110,-110
