,Unnamed: 0,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two
80,80,10/21/1999,1999,7,BAL,KC,KC,-1.0,36.0,,51.0,5.0,74.0,8.0,35.0,False,False,43.0,7.0,7.0,-26.0,1999-10-21,10/21/1999,3,38.0,34.0,100,-150,0,0,-50
81,81,10/24/1999,1999,7,CAR,DET,CAR,-4.5,43.5,,46.0,8.0,60.0,9.0,24.0,False,False,33.0,-10.5,10.5,10.5,1999-10-24,10/24/1999,6,45.5,41.5,-150,100,0,0,-50
82,82,10/24/1999,1999,7,DAL,WAS,DAL,-2.0,44.0,,59.0,6.0,36.0,38.0,20.0,False,False,58.0,14.0,14.0,16.0,1999-10-24,10/24/1999,6,46.0,42.0,100,-150,0,0,-50
83,83,10/24/1999,1999,7,IND,CIN,IND,-11.0,44.0,DOME,72.0,0.0,,31.0,10.0,False,False,41.0,-3.0,3.0,10.0,1999-10-24,10/24/1999,6,46.0,42.0,-150,100,0,0,-50
84,84,10/24/1999,1999,7,MIA,PHI,MIA,-9.0,34.0,,71.0,9.0,56.0,16.0,13.0,False,False,29.0,-5.0,5.0,-6.0,1999-10-24,10/24/1999,6,36.0,32.0,-150,100,0,0,-50
85,85,10/24/1999,1999,7,MIN,SF,MIN,-7.0,48.5,DOME,72.0,0.0,,40.0,16.0,False,False,56.0,7.5,7.5,17.0,1999-10-24,10/24/1999,6,50.5,46.5,100,-150,0,0,-50
86,86,10/24/1999,1999,7,NE,DEN,NE,-3.5,40.5,,49.0,14.0,65.0,24.0,23.0,False,False,47.0,6.5,6.5,-2.5,1999-10-24,10/24/1999,6,42.5,38.5,100,-150,0,0,-50
87,87,10/24/1999,1999,7,NYG,NO,NYG,-3.0,34.0,,50.0,17.0,58.0,31.0,3.0,False,False,34.0,0.0,0.0,25.0,1999-10-24,10/24/1999,6,36.0,32.0,100,100,0,0,200
88,88,10/24/1999,1999,7,OAK,NYJ,OAK,-6.5,37.0,,59.0,10.0,73.0,24.0,23.0,False,False,47.0,10.0,10.0,-5.5,1999-10-24,10/24/1999,6,39.0,35.0,100,-150,0,0,-50
89,89,10/24/1999,1999,7,SEA,BUF,SEA,-2.5,38.0,DOME,72.0,0.0,,26.0,16.0,False,False,42.0,4.0,4.0,7.5,1999-10-24,10/24/1999,6,40.0,36.0,100,-150,0,0,-50
90,90,10/24/1999,1999,7,TB,CHI,TB,-8.0,36.5,,62.0,10.0,51.0,6.0,3.0,False,False,9.0,-27.5,27.5,-5.0,1999-10-24,10/24/1999,6,38.5,34.5,-150,100,0,0,-50
91,91,10/25/1999,1999,7,PIT,ATL,PIT,-5.5,37.0,,41.0,9.0,67.0,13.0,9.0,False,False,22.0,-15.0,15.0,-1.5,1999-10-25,10/25/1999,0,39.0,35.0,-150,100,0,0,-50
92,92,10/31/1999,1999,9,ARI,NE,NE,-3.0,40.5,,74.0,7.0,14.0,3.0,27.0,False,False,30.0,-10.5,10.5,-21.0,1999-10-31,10/31/1999,6,42.5,38.5,-150,100,0,0,-50
93,93,10/31/1999,1999,8,ATL,CAR,ATL,-2.0,40.0,DOME,72.0,0.0,,27.0,20.0,False,False,47.0,7.0,7.0,5.0,1999-10-31,10/31/1999,6,42.0,38.0,100,-150,0,0,-50
94,94,10/31/1999,1999,8,BAL,BUF,BUF,-3.5,36.5,,59.0,4.0,80.0,10.0,13.0,False,False,23.0,-13.5,13.5,0.5,1999-10-31,10/31/1999,6,38.5,34.5,-150,100,0,0,-50
95,95,10/31/1999,1999,8,CIN,JAX,JAX,-12.5,38.0,,62.0,6.0,73.0,10.0,41.0,False,False,51.0,13.0,13.0,-18.5,1999-10-31,10/31/1999,6,40.0,36.0,100,-150,0,0,-50
96,96,10/31/1999,1999,9,DEN,MIN,MIN,-2.5,45.0,,51.0,10.0,28.0,20.0,23.0,False,False,43.0,-2.0,2.0,-0.5,1999-10-31,10/31/1999,6,47.0,43.0,-150,100,150,0,100
97,97,10/31/1999,1999,9,DET,TB,TB,-2.5,35.0,DOME,72.0,0.0,,20.0,3.0,False,False,23.0,-12.0,12.0,-14.5,1999-10-31,10/31/1999,6,37.0,33.0,-150,100,0,0,-50
98,98,10/31/1999,1999,8,IND,DAL,IND,-3.0,46.0,DOME,72.0,0.0,,34.0,24.0,False,False,58.0,12.0,12.0,7.0,1999-10-31,10/31/1999,6,48.0,44.0,100,-150,0,0,-50
99,99,10/31/1999,1999,8,KC,,KC,-6.0,35.0,,58.0,9.0,74.0,34.0,0.0,False,False,34.0,-1.0,1.0,28.0,1999-10-31,10/31/1999,6,37.0,33.0,100,100,0,0,200
100,100,10/31/1999,1999,8,NO,CLE,NO,-9.5,33.5,DOME,72.0,0.0,,16.0,21.0,False,False,37.0,3.5,3.5,-4.5,1999-10-31,10/31/1999,6,35.5,31.5,100,-150,0,0,-50
101,101,10/31/1999,1999,9,OAK,MIA,OAK,-3.0,37.0,,64.0,8.0,62.0,9.0,16.0,False,False,25.0,-12.0,12.0,4.0,1999-10-31,10/31/1999,6,39.0,35.0,-150,100,0,0,-50
102,102,10/31/1999,1999,8,PHI,NYG,NYG,-2.5,33.5,,59.0,6.0,90.0,17.0,23.0,False,False,40.0,6.5,6.5,-3.5,1999-10-31,10/31/1999,6,35.5,31.5,100,-150,0,0,-50
103,103,10/31/1999,1999,8,TEN,,LAR,-3.0,44.5,,65.0,6.0,65.0,24.0,21.0,False,False,45.0,0.5,0.5,0.0,1999-10-31,10/31/1999,6,46.5,42.5,100,100,0,0,200
104,104,10/31/1999,1999,8,WAS,CHI,WAS,-8.5,44.0,,61.0,6.0,85.0,48.0,22.0,False,False,70.0,26.0,26.0,17.5,1999-10-31,10/31/1999,6,46.0,42.0,100,-150,0,0,-50
105,105,11/1/1999,1999,9,GB,SEA,GB,-5.5,42.5,,52.0,16.0,62.0,7.0,27.0,False,False,34.0,-8.5,8.5,14.5,1999-11-01,11/1/1999,0,44.5,40.5,-150,100,0,0,-50
106,106,11/7/1999,1999,10,ATL,JAX,JAX,-6.0,41.0,DOME,72.0,0.0,,7.0,30.0,False,False,37.0,-4.0,4.0,-17.0,1999-11-07,11/7/1999,6,43.0,39.0,-150,100,0,0,-50
107,107,11/7/1999,1999,10,CAR,PHI,CAR,-5.0,36.0,,59.0,5.0,68.0,33.0,7.0,False,False,40.0,4.0,4.0,21.0,1999-11-07,11/7/1999,6,38.0,34.0,100,-150,0,0,-50
108,108,11/7/1999,1999,10,CLE,BAL,BAL,-3.5,32.5,,43.0,11.0,56.0,9.0,41.0,False,False,50.0,17.5,17.5,-28.5,1999-11-07,11/7/1999,6,34.5,30.5,100,-150,0,0,-50
109,109,11/7/1999,1999,10,DET,,LAR,-4.0,45.0,DOME,72.0,0.0,,31.0,27.0,False,False,58.0,13.0,13.0,0.0,1999-11-07,11/7/1999,6,47.0,43.0,100,-150,0,0,-50
110,110,11/7/1999,1999,10,GB,CHI,GB,-9.0,40.5,,37.0,6.0,48.0,13.0,14.0,False,False,27.0,-13.5,13.5,-8.0,1999-11-07,11/7/1999,6,42.5,38.5,-150,100,0,0,-50
111,111,11/7/1999,1999,10,IND,KC,IND,-4.0,45.0,DOME,72.0,0.0,,25.0,17.0,False,False,42.0,-3.0,3.0,4.0,1999-11-07,11/7/1999,6,47.0,43.0,-150,100,0,0,-50
112,112,11/7/1999,1999,10,MIA,TEN,MIA,-3.0,37.0,,76.0,14.0,78.0,17.0,0.0,False,False,17.0,-20.0,20.0,14.0,1999-11-07,11/7/1999,6,39.0,35.0,-150,100,0,0,-50
113,113,11/7/1999,1999,10,NO,TB,TB,-3.5,33.5,DOME,72.0,0.0,,16.0,31.0,False,False,47.0,13.5,13.5,-11.5,1999-11-07,11/7/1999,6,35.5,31.5,100,-150,0,0,-50
114,114,11/7/1999,1999,10,NYJ,ARI,NYJ,-7.0,35.0,,50.0,18.0,41.0,12.0,7.0,False,False,19.0,-16.0,16.0,-2.0,1999-11-07,11/7/1999,6,37.0,33.0,-150,100,0,0,-50
